City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,datca,36.7378,27.6842,52.74,63,0,2.19,TR,2025-01-01
209,shakawe,-18.3667,21.85,72.19,87,100,2.98,BW,2025-01-01
210,glace bay,46.1969,-59.957,35.17,98,100,3.44,CA,2025-01-01
211,el rama,12.1596,-84.2195,71.47,98,100,1.83,NI,2025-01-01
212,vorgashor,67.5833,63.95,18.5,83,100,21.27,RU,2025-01-01
213,mahina,-17.5065,-149.489,80.37,89,75,10.36,PF,2025-01-01
214,inirida,3.8653,-67.9239,71.53,96,19,1.5,CO,2025-01-01
215,concordia,-31.393,-58.0209,72.79,73,14,8.1,AR,2025-01-01
216,rio preto da eva,-2.6994,-59.6997,73.78,99,100,2.33,BR,2025-01-01
217,ghanzi,-21.5667,21.7833,73.0,77,100,10.8,BW,2025-01-01
218,puerto deseado,-47.7503,-65.8938,54.93,68,81,17.47,AR,2025-01-01
219,atafu village,-8.5421,-172.5159,83.3,73,100,12.93,TK,2025-01-01
220,la ronge,55.1001,-105.2842,-0.15,78,100,11.5,CA,2025-01-01
221,kars,40.602,43.095,7.25,85,0,5.75,TR,2025-01-01
222,akjoujt,19.6969,-14.4164,56.35,27,11,12.24,MR,2025-01-01
223,ban nam yuen,9.8769,98.8659,84.34,50,88,7.52,TH,2025-01-01
224,skelleftea,64.7507,20.9528,5.36,100,99,5.75,SE,2025-01-01
225,qui nhon,13.7667,109.2333,71.56,85,100,15.17,VN,2025-01-01
226,markovo,57.3206,107.0881,8.1,91,100,8.16,RU,2025-01-01
227,sosnovo-ozerskoye,52.5249,111.5418,10.24,67,70,14.45,RU,2025-01-01
228,saint croix,17.7397,-64.7388,73.96,79,40,5.75,VI,2025-01-01
229,fisterra,42.9049,-9.2629,55.53,68,30,19.42,ES,2025-01-01
230,laguna,38.421,-121.4238,48.34,81,0,4.61,US,2025-01-01
231,russellville,35.2784,-93.1338,44.74,61,100,5.75,US,2025-01-01
232,ust'-kulom,61.6864,53.6902,7.56,99,84,4.0,RU,2025-01-01
233,fuxin,42.0156,121.6589,31.46,25,97,6.51,CN,2025-01-01
234,yatou,37.15,122.3833,45.14,43,0,4.74,CN,2025-01-01
235,taroa,8.7058,171.2275,81.59,79,21,18.1,MH,2025-01-01
236,dazhong,33.1997,120.4578,53.87,26,0,4.85,CN,2025-01-01
237,bonthe,7.5264,-12.505,73.72,91,7,4.09,SL,2025-01-01
238,klyuchi,52.2667,79.1667,13.01,95,100,7.78,RU,2025-01-01
239,shwebo,22.5667,95.7,81.23,41,0,2.19,MM,2025-01-01
240,timbuktu,16.7735,-3.0074,56.88,24,0,13.27,ML,2025-01-01
241,fale old settlement,-9.3852,-171.2468,82.08,77,77,10.74,TK,2025-01-01
242,maun,-19.9833,23.4167,73.76,79,100,6.44,BW,2025-01-01
243,nar'yan-mar,67.6713,53.087,25.27,90,100,22.55,RU,2025-01-01
244,colonia,50.9333,6.95,43.45,84,40,13.8,DE,2025-01-01
245,haiku-pauwela,20.9219,-156.3051,74.05,84,40,13.8,US,2025-01-01
246,suez,29.9737,32.5263,56.61,63,50,6.6,EG,2025-01-01
247,eregli,37.5133,34.0467,34.27,72,6,2.17,TR,2025-01-01
248,kolonia,50.9333,6.95,43.45,84,40,13.8,DE,2025-01-01
249,sept-iles,50.2001,-66.3821,32.52,98,100,3.44,CA,2025-01-01
250,chicoana,-25.1009,-65.5331,68.05,70,45,2.77,AR,2025-01-01
251,kem',64.9555,34.5793,18.19,93,64,8.9,RU,2025-01-01
252,kodiak,57.79,-152.4072,40.51,87,100,31.07,US,2025-01-01
253,labrador city,52.9463,-66.9114,31.91,86,100,9.22,CA,2025-01-01
254,erenhot,43.6475,111.9767,19.51,37,94,11.23,CN,2025-01-01
255,altai,46.3722,96.2583,7.38,69,82,2.44,MN,2025-01-01
256,kenai,60.5544,-151.2583,25.14,66,0,11.5,US,2025-01-01
257,port blair,11.6667,92.75,84.24,74,40,9.22,IN,2025-01-01
258,sinop,41.7711,34.8709,38.25,62,1,6.04,TR,2025-01-01
259,tiksi,71.6872,128.8694,-15.11,100,100,4.85,RU,2025-01-01
260,protaras,35.0125,34.0583,54.0,70,0,7.0,CY,2025-01-01
261,wajir,1.7471,40.0573,79.63,62,6,13.91,KE,2025-01-01
262,singaraja,-8.112,115.0882,82.6,81,100,4.0,ID,2025-01-01
263,lagunas,-5.2269,-75.6753,73.24,98,100,1.59,PE,2025-01-01
264,kwakoa,-3.7667,37.7167,76.32,66,54,1.68,TZ,2025-01-01
265,iskateley,67.6803,53.1512,25.2,90,100,22.44,RU,2025-01-01
266,zbaszyn,52.2509,15.9252,39.18,81,100,18.41,PL,2025-01-01
267,brigantine,39.4101,-74.3646,50.05,97,0,5.99,US,2025-01-01
268,chemmumiahpet,15.8979,79.3213,82.65,46,33,7.25,IN,2025-01-01
269,port alfred,-33.5906,26.891,73.18,57,0,1.01,ZA,2025-01-01
270,madera,37.1666,-119.8343,51.73,88,85,2.73,US,2025-01-01
271,kalmunai,7.4167,81.8167,80.11,85,99,16.75,LK,2025-01-01
272,labytnangi,66.6572,66.4183,16.25,95,100,12.53,RU,2025-01-01
273,galle,6.0367,80.217,82.92,79,94,1.99,LK,2025-01-01
274,new norfolk,-42.7826,147.0587,66.92,36,69,11.21,AU,2025-01-01
275,newman,37.3138,-121.0208,44.04,82,100,3.06,US,2025-01-01
276,kapa'a,22.0752,-159.319,75.52,84,40,18.41,US,2025-01-01
277,kenora,49.8167,-94.4337,13.17,85,100,6.91,CA,2025-01-01
278,baltasi,56.3462,50.2062,21.22,91,82,14.67,RU,2025-01-01
279,avondale,33.4356,-112.3496,54.01,44,0,1.01,US,2025-01-01
280,kuvshinovo,57.0295,34.1725,25.47,92,100,9.17,RU,2025-01-01
281,soe,-9.8607,124.284,79.84,71,99,1.68,ID,2025-01-01
282,norilsk,69.3535,88.2027,10.45,86,100,11.12,RU,2025-01-01
283,moranbah,-22.0016,148.0466,69.96,90,60,23.42,AU,2025-01-01
284,chilliwack,49.1747,-121.9443,36.01,99,100,3.13,CA,2025-01-01
285,daru,-9.0763,143.2092,86.22,57,73,9.8,PG,2025-01-01
286,naze,28.3667,129.4833,63.52,56,15,9.35,JP,2025-01-01
287,crevalcore,44.7206,11.1498,41.34,93,0,2.44,IT,2025-01-01
288,iwanai,42.9744,140.5089,29.64,82,100,10.16,JP,2025-01-01
289,hithadhoo,-0.6,73.0833,82.09,72,4,15.73,MV,2025-01-01
290,washington court house,39.5364,-83.4391,35.82,94,100,20.71,US,2025-01-01
291,palmer,42.1584,-72.3287,43.52,71,100,1.99,US,2025-01-01
292,canela,-29.3656,-50.8156,63.34,81,95,1.99,BR,2025-01-01
293,ust'-ilimsk,58.0006,102.6619,5.81,95,96,5.61,RU,2025-01-01
294,rasht,37.2808,49.5832,48.02,93,75,6.91,IR,2025-01-01
295,mashava,-20.0367,30.4823,77.27,61,8,4.94,ZW,2025-01-01
296,tsiombe,-25.3,45.4833,95.56,33,2,6.15,MG,2025-01-01
297,dryden,49.7833,-92.7503,14.29,85,75,11.5,CA,2025-01-01
298,igarka,67.4667,86.5833,11.89,94,100,18.5,RU,2025-01-01
299,magway,20.15,94.9167,82.11,46,1,5.03,MM,2025-01-01
300,tshabong,-26.05,22.45,80.1,58,99,7.67,BW,2025-01-01
301,touros,-5.1989,-35.4608,80.04,77,33,11.88,BR,2025-01-01
302,teguise,29.0605,-13.564,55.62,77,0,6.91,ES,2025-01-01
303,east london,-33.0153,27.9116,70.74,64,0,2.3,ZA,2025-01-01
304,aitape,-3.1374,142.3475,81.59,82,100,3.94,PG,2025-01-01
305,khanty-mansiysk,61.0042,69.0019,15.91,86,75,13.42,RU,2025-01-01
306,regina,50.4501,-104.6178,8.58,78,100,14.97,CA,2025-01-01
307,bereket,39.2446,55.5154,42.46,57,4,1.16,TM,2025-01-01
308,fort st. john,56.2499,-120.8529,4.89,72,100,4.61,CA,2025-01-01
309,manjeshvar,12.7,74.8833,87.19,39,12,13.33,IN,2025-01-01
310,satipo,-11.2522,-74.6386,68.22,97,100,2.89,PE,2025-01-01
311,kibondo,-3.5864,30.7203,65.75,74,94,1.59,TZ,2025-01-01
312,campamento,14.55,-86.65,66.07,98,100,0.13,HN,2025-01-01
313,taybad,34.74,60.7756,39.85,81,100,19.19,IR,2025-01-01
314,alapa,8.6167,4.3833,72.68,30,22,2.71,NG,2025-01-01
315,belmonte,-15.8631,-38.8828,74.37,85,66,3.31,BR,2025-01-01
316,balakhta,55.38,91.6,2.17,96,75,1.54,RU,2025-01-01
317,gbarnga,6.9956,-9.4722,68.07,99,80,2.28,LR,2025-01-01
318,mbandaka,0.0487,18.2603,74.84,50,87,3.04,CD,2025-01-01
319,devrek,41.2192,31.9558,37.2,66,0,3.91,TR,2025-01-01
320,ishikawa,26.4233,127.8214,68.34,52,75,8.05,JP,2025-01-01
321,santiago de cao,-7.9589,-79.2392,66.33,82,75,3.44,PE,2025-01-01
322,vasilikon,38.4333,23.6667,44.47,100,0,4.61,GR,2025-01-01
323,al matariyah,31.1829,32.0311,57.15,66,55,4.72,EG,2025-01-01
324,gadzhiyevo,69.2551,33.3362,21.06,95,100,6.51,RU,2025-01-01
325,joshimath,30.5667,79.5667,54.12,27,21,3.65,IN,2025-01-01
326,harper,4.375,-7.7169,76.6,93,71,0.45,LR,2025-01-01
327,dul'durga,50.6761,113.5931,12.31,69,12,16.96,RU,2025-01-01
328,mary,37.0,62.5,45.3,68,86,6.82,TM,2025-01-01
329,tanah rata,4.475,101.3704,65.01,95,81,2.39,MY,2025-01-01
330,mabaruma,8.2,-59.7833,70.86,100,59,0.85,GY,2025-01-01
331,balabac,7.9868,117.0645,84.49,71,72,5.39,PH,2025-01-01
332,devils lake,48.1128,-98.8651,6.78,78,100,19.57,US,2025-01-01
333,aykhal,66.0,111.5,-25.06,100,100,5.48,RU,2025-01-01
334,vorkuta,67.5,64.0,18.32,81,100,21.12,RU,2025-01-01
335,bikenibeu village,1.3673,173.1241,85.96,74,20,9.22,KI,2025-01-01
336,dhidhdhoo,6.8833,73.1,83.08,71,93,10.07,MV,2025-01-01
337,george town,5.4112,100.3354,91.33,62,20,7.0,MY,2025-01-01
338,vernon,50.2581,-119.2691,33.33,86,100,5.75,CA,2025-01-01
339,newport,51.5877,-2.9984,54.54,86,100,33.96,GB,2025-01-01
340,alva,56.1528,-3.8051,39.69,87,100,4.68,GB,2025-01-01
341,bandar lampung,-5.4254,105.258,83.43,73,99,0.81,ID,2025-01-01
342,port mathurin,-19.6833,63.4167,78.03,76,69,11.9,MU,2025-01-01
343,show low,34.2542,-110.0298,28.69,54,0,5.75,US,2025-01-01
344,vilyuchinsk,52.9306,158.4028,19.67,87,98,8.32,RU,2025-01-01
345,al wakrah,24.85,51.3333,64.49,46,90,21.03,QA,2025-01-01
346,limoeiro do norte,-5.1456,-38.0981,77.83,79,46,6.78,BR,2025-01-01
